,lemma_review,nltk_sentiment,sentiment
0,"['family', 'flown', 'mostly', 'british', 'airway', 'last', '30', 'year', 'priority', 'passenger', 'fly', 'often', 'enough', 'recognise', 'cabin', 'crew', 'know', 'name', 'used', 'really', 'good', 'airline', 'fly', 'thing', 'really', 'deteriorated', 'face', 'face', 'customer', 'care', 'since', 'pandemic', 'aircraft', 'look', 'worn', 'example', 'flight', 'back', 'audiovisual', 'equipment', 'work', 'reset', 'twice', 'finally', 'working', 'last', 'hour', 'landed', 'second', 'time', 'around', 'think', 'reset', 'done', 'whole', 'aircraft', 'touch', 'screen', 'function', 'screen', 'work', 'usb', 'charger', 'port', 'seat', 'work', 'staff', 'pleasant', 'enough', 'service', 'oozed', 'mediocrity', 'seem', 'much', 'pride', 'food', 'worst', 'part', 'ba', 'flight', 'since', 'pandemic', 'gave', 'u', 'menu', 'asked', 'like', 'check', 'told', 'u', 'available', 'run', 'would', 'like', 'choose', 'something', 'else', 'told', 'u', 'get', 'first', 'choice', 'second', 'service', 'deliver', 'finally', 'choosing', 'getting', 'whatever', 'food', 'tasteless', 'take', 'part', 'post', 'flight', 'survey', 'regularly', 'stated', 'avail', 'family', '3', 'fly', 'british', 'airway', 'medium', 'long', 'haul', 'regularly', 'possibly', '4', '6', 'time', 'year', 'u', 'good', 'thing', 'flying', 'ba', 'priority', 'customer', 'usually', 'direct', 'flight', 'destination', 'get', 'good', 'service', 'ground', 'checking', 'lounge', 'use']",1,Positive
1,"['far', 'worst', 'service', 'plane', 'obvious', 'flying', 'economy', 'frequent', 'traveler', 'british', 'airway', 'care', 'little', 'wait', 'hour', 'even', 'open', 'check', '5', 'line', 'one', 'serviced', 'economy', 'even', 'though', 'line', 'economy', 'three', 'time', 'length', 'premium', 'class', 'told', 'economy', 'passenger', 'bag', 'check', 'carryon', 'due', 'full', 'flight', 'room', 'overhead', 'compartment', 'arrived', 'gate', 'enough', 'seat', 'fit', 'everyone', 'leave', 'boarding', 'area', 'never', 'fly', 'airline']",1,Positive
2,"['nov', '2022', 'booked', 'paid', 'return', 'journey', 'new', 'zealand', 'return', 'journey', 'final', 'flight', 'london', 'edinburgh', 'trying', 'check', 'told', 'ticket', 'exist', 'showed', 'evidence', 'flight', 'booked', 'paid', 'denied', 'ticket', 'option', 'buy', 'ticket', 'later', 'flight', 'cost', '265', '07', 'since', 'nov', '22', 'ie', '8', 'month', 'ago', 'communicated', 'multiple', 'time', 'ba', 'attempt', 'money', 'returned', 'admitted', 'responsibility', 'error', 'cost', '265', 'finally', 'received', 'word', 'decided', 'refund', 'sum', '32', '14', 'asked', 'explanation', 'received', 'none', 'polite', 'mail', 'informing', 'decision', 'checked', 'correct', 'intend', 'let', 'matter', 'go', 'company', 'worth', 'billion', 'pound', 'return', 'honest', 'refund', 'p', 'also', 'lost', 'luggage', 'nothing', 'help', 'retrieve', 'tracked', 'week', 'later', 'edinburgh', 'airport', 'picked']",-1,Negative
3,"['ba', 'treating', 'premium', 'economy', 'passenger', 'respect', 'pay', 'premium', 'economy', 'service', 'compelled', 'use', 'economy', 'toilet', 'back', 'plane', 'short', 'changing', 'passenger']",1,Positive
4,"['24', 'hour', 'departure', 'ba059', 'cape', 'town', 'heathrow', 'thursday', '29th', 'june', 'online', 'check', 'seat', 'already', 'allocated', 'wife', '41', 'middle', 'two', 'seat', 'central', 'block', 'four', 'totally', 'unsuitable', 'u', 'late', '70', 'getting', 'seat', 'stretch', 'leg', 'go', 'toilet', 'would', 'mean', 'climbing', 'person', 'aisle', 'seat', 'available', 'got', 'heathrow', '6', 'hour', 'departure', 'tried', 'change', 'seat', 'check', 'avail', 'although', 'lady', 'sympathetic', 'tried', 'utmost', 'offer', 'u', 'upgrade', 'premium', 'economy', '450gbp', 'beyond', 'affordability', 'said', 'try', 'departure', 'gate', 'also', 'failed', 'spoke', 'member', 'flight', 'crew', 'totally', 'unsympathetic', 'economy', 'seat', 'tiny', 'jammed', 'shoulder', 'shoulder', 'wife', 'stranger', 'knee', 'touching', 'seat', 'pocket', 'front', '12', 'hour', 'suffered', 'manage', 'get', 'seat', 'due', 'kindness', 'young', 'lady', 'next', 'aisle', 'mission', 'trying', 'clamber', 'past', 'reclined', 'backrest', 'front', 'ba', 'economy', 'absolutely', 'awful', 'evening', 'meal', 'near', 'inedible', 'choice', 'spicy', 'food', 'suitable', 'flying', 'especially', 'older', 'person', 'breakfast', 'spanish', 'omelette', 'however', 'bad', 'previous', 'day', 'flown', 'economy', 'malta', 'heathrow', 'malta', 'airline', '3', 'hour', 'trip', 'pleasure', 'seat', 'wide', 'ample', 'legroom', 'british', 'airway']",-1,Negative
5,"['arrived', 'heathrow', '0600', 'find', 'flight', 'ibiza', 'cancelled', 'ba', 'explanation', 'galling', 'enough', 'customer', 'service', 'ba', 'airport', 'non', 'existent', 'explanation', 'apology', 'assistance', 'finding', 'alternative', 'flight', 'managed', 'find', 'another', 'flight', 'stansted', 'much', 'later', 'today', 'thus', 'wasting', 'chunk', 'short', 'trip', 'simply', 'understand', 'ba', 'proactively', 'contact', 'customer', 'notify', 'cancellation', 'work', 'resolve', 'problem', 'shocking', 'customer', 'service']",-1,Negative
6,"['original', 'flight', 'cancelled', 'explanation', 'representative', 'help', 'rebooking', 'call', 'customer', 'service', 'long', 'distance', 'call', 'line', 'kept', 'dropping', '40', 'call', 'find', 'new', 'booking', 'discover', 'way', 'could', 'fly', 'next', 'day', 'paying', 'business', 'class', 'help', 'hotel', 'night', 'stay']",1,Positive
7,"['airport', 'check', 'functionary', 'little', 'warmth', 'efficiency', 'flight', 'delayed', 'communication', 'given', 'boarding', 'chaotic', 'management', 'process', 'ground', 'staff', 'seat', 'board', 'tight', 'really', 'feel', 'like', 'crammed', 'every', 'seat', 'possible', 'next', 'recline', 'however', 'thankful', 'recline', 'person', 'front', 'even', 'slightest', 'recline', 'would', 'face', 'owing', 'tight', 'seat', 'spaced', 'a321', 'aircraft', 'amenity', 'flight', 'except', 'toilet', 'clean', 'small', 'ife', 'food', 'beverage', 'unless', 'pay', 'extra', 'staff', 'friendly', 'luggage', 'arrived', 'carousel', 'within', 'short', 'amount', 'time']",1,Positive
8,"['flight', 'fine', 'line', 'competitor', 'pleasant', 'crew', 'niggle', 'bussed', 'aircraft', 'heathrow', 'seems', 'like', 'standard', 'berlin', 'flight', 'would', 'use']",1,Positive
9,"['came', 'glasgow', 'london', 'took', 'connecting', 'flight', 'american', 'airline', 'london', 'north', 'carolina', 'third', 'day', 'north', 'carolina', 'still', 'waiting', 'luggage', 'even', 'bother', 'transfer', 'luggage', 'connecting', 'flight', 'luggage', 'still', 'glasgow']",-1,Negative
